,Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access
833,ELEC,Village on the Parkway,5100 Belt Line Rd,,Dallas,TX,75254,,888-264-2208,E,,Public,6am-12am daily,,,,,,2.0,,,Volta,https://voltacharging.com/,GPS,32.95072,-96.820052,2021-04-08,154805,2022-10-17 15:38:16 UTC,P,,,2020-03-27,,,,,J1772,US,,,,Public,,public,,,SHOPPING_MALL,,,,,,,,,,,,,,,,,False
858,ELEC,DAL PARKING DAL GARAGE C6,7816 Aviation Place,,Dallas,TX,75235,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.843762,-96.84762,2022-10-30,162531,2022-10-30 00:52:30 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
883,ELEC,WINDSOR STATION 1,13242-13260 Noel Rd,,Dallas,TX,75240,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.928767,-96.817572,2022-10-30,162564,2022-10-30 00:51:33 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
884,ELEC,MODERA HALL ST1,1810 N Hall St,,Dallas,TX,75204,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.79667,-96.790059,2022-10-30,162565,2022-10-30 00:51:32 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
887,ELEC,ASH ASH 2 LVL 2,4668 Amesbury Dr,,Dallas,TX,75206,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.842011,-96.763267,2022-10-30,162568,2022-10-30 00:51:15 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
901,ELEC,VICTORY PLACE STATION 2,1701 Payne St,,Dallas,TX,75201,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.79173,-96.809079,2022-10-30,162597,2022-10-30 00:49:52 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
911,ELEC,BRADY BRADY 2 PG BG,2728 Cedar Spring Rd,,Dallas,TX,75201,,888-758-4389,T,2022-10-29,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.801969,-96.805013,2022-10-30,162618,2022-10-30 00:49:13 UTC,,,,2020-06-12,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,
913,ELEC,BRADY BRADY 1 PG B2,2728 Cedar Spring Rd,,Dallas,TX,75204,,888-758-4389,T,2022-10-29,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.802011,-96.805087,2022-10-30,162620,2022-10-30 00:49:11 UTC,,,,2020-06-12,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,
915,ELEC,MCKINNEY&OLIVE M&O STAT1,2021 McKinney Ave,,Dallas,TX,75201,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.791369,-96.804575,2022-10-30,162622,2022-10-30 00:49:09 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
926,ELEC,GABLES MCKINNEY STATION 2,2500 McKinney Ave,,Dallas,TX,75201,,888-758-4389,T,2022-09-09,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.795284,-96.801699,2022-10-30,162638,2022-10-30 00:48:01 UTC,,,,2020-06-12,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,
939,ELEC,ARPEGGIO STATION 1,2425 Victory Ave,,Dallas,TX,75219,,888-758-4389,E,,Public,24 hours daily,,,,,,1.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.788231,-96.811243,2022-10-30,162658,2022-10-30 00:46:35 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
953,ELEC,DALLAS REGIONAL ONE FOREST 1,12200 Park Central Dr,,Dallas,TX,75251,,888-758-4389,T,2022-09-09,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.914399,-96.77507,2022-10-30,162683,2022-10-30 00:46:05 UTC,,,,2020-06-12,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,
963,ELEC,COD CITY HALL STATION 2,1500 Marilla Street,,Dallas,TX,75201,,888-758-4389,E,,Public,24 hours daily,,,,,,1.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.775937,-96.795978,2022-10-30,162697,2022-10-30 00:45:48 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
969,ELEC,THE ALEXAN EV STATION 01,3333 Harry Hines Blvd,,Dallas,TX,75201,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.797239,-96.813922,2022-10-30,162703,2022-10-30 00:45:42 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
984,ELEC,FOUNTAIN PLACE FOUNTAINPLACEB1,1455 Ross Ave,,Dallas,TX,75202,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.784572,-96.802211,2022-10-30,162730,2022-10-30 00:43:31 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
994,ELEC,4110 FAIRMOUNT EV STATION 01,4110 Fairmount St,,Dallas,TX,75219,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.807955,-96.816364,2022-10-30,162747,2022-10-30 00:42:48 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1002,ELEC,BMW OF DALLAS STATION 01,6200 Lemon Ave,,Dallas,TX,75209,,888-758-4389,T,2022-09-09,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.834405,-96.82848,2022-10-30,162761,2022-10-30 00:42:32 UTC,,,,2020-06-12,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,
1006,ELEC,RENAISSANCE TWR 1201 ELM REN.T,1201 Pacific Ave,,Dallas,TX,75223,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.781982,-96.801969,2022-10-30,162768,2022-10-30 00:42:21 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1011,ELEC,WHOLE FOODS MKT ADDISON ST1,5100 Belt Line Rd,,Dallas,TX,75254,,888-758-4389,T,2022-09-09,TEMPORARILY UNAVAILABLE (Public),24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,1.0,1.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.953364,-96.820685,2022-10-30,162783,2022-10-30 00:41:56 UTC,,,,2020-06-12,,,,,J1772 NEMA515,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,
1022,ELEC,AMF DALLAS AMELIA-1,912 Park Ave,,Dallas,TX,75201,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.77695,-96.7917,2022-10-30,163551,2022-10-30 01:03:19 UTC,,,,2020-06-23,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1092,ELEC,STA STATION 1,8190 Manderville Lane,,Dallas,TX,75231,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.892213,-96.766545,2022-10-30,167540,2022-10-30 01:08:16 UTC,,,,2020-10-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1095,ELEC,1900 PEARL STATION 2,1900 Pearl St,,Dallas,TX,75201,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.790337,-96.799621,2022-10-30,167676,2022-10-30 01:07:14 UTC,,,,2020-10-22,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1096,ELEC,1900 PEARL STATION 1,1900 N Pearl St,,Dallas,TX,75201,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.790485,-96.799487,2022-10-30,167677,2022-10-30 01:07:14 UTC,,,,2020-10-22,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1098,ELEC,Tom Thumb - 2727 Live Oak St,2727 Live Oak St,,Dallas,TX,75204,,888-264-2208,E,,Public,6am-12am daily,,,,,,2.0,,,Volta,https://voltacharging.com/,GPS,32.789207,-96.789406,2021-04-08,167926,2022-10-17 15:38:16 UTC,P,,,2020-10-19,,,,,J1772,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,False
1103,ELEC,Audi - Forbes Todd Automotive II - North Parking,5033 Lemmon Ave,,Dallas,TX,75209,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,2.0,,,Blink Network,http://www.blinkcharging.com/,GPS,32.823774,-96.81978,2022-10-05,168019,2022-10-05 22:56:11 UTC,,,,2020-10-30,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Level 2: $0.49 per kWh,,,,,,,,,,
1107,ELEC,RANCHOPALISADES RM - 1,4849 Frankford Rd,,Dallas,TX,75287,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.999763,-96.822931,2022-10-30,168331,2022-10-30 01:08:58 UTC,,,,2020-11-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1116,ELEC,Childrens Health Dallas - Tesla Destination,1935 Medical District Dr,,Dallas,TX,75235,,877-798-3752  877-798-3752,E,,Public,24 hours daily; for customer use only; see front desk for access,,,,,,10.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,32.809191,-96.837838,2020-11-03,168679,2021-03-11 23:22:17 UTC,P,,,2020-11-03,,,,,J1772 TESLA,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,
1118,ELEC,Childrens Health Trinity Towers - Tesla Destination,277 N Stemmons Fwy,,Dallas,TX,75207,,877-798-3752  877-798-3752,E,,Public,24 hours daily; for customer use only; see front desk for access,,,,,,5.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,32.779257,-96.812383,2020-11-03,168681,2021-03-11 23:22:17 UTC,P,,,2020-11-03,,,,,J1772 TESLA,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,
1119,ELEC,Commerce Street - Tesla Destination,2109 Commerce St,,Dallas,TX,75201,,877-798-3752  877-798-3752,E,,Public,24 hours daily; for customer use only; see front desk for access,,,,,,2.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,32.781665,-96.791743,2020-11-03,168700,2021-03-11 23:22:17 UTC,P,,,2020-11-03,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,
1122,ELEC,Dallas High School Renovation - Tesla Destination,2218 Bryan St,,Dallas,TX,75201,,877-798-3752  877-798-3752,E,,Public,24 hours daily; for customer use only; see front desk for access,,,,,,8.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,32.785896,-96.794768,2020-11-03,168724,2021-03-11 23:22:17 UTC,P,,,2020-11-03,,,,,J1772 TESLA,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,
1123,ELEC,Dallas National Golf Club - Tesla Destination,1515 Knoxville St,,Dallas,TX,75211,,877-798-3752  877-798-3752,E,,Public,24 hours daily; for customer use only; see front desk for access,,,,,,2.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,32.729056,-96.900413,2020-11-03,168725,2021-03-11 23:22:17 UTC,P,,,2020-11-03,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,
1147,ELEC,Rogers-OBrien Construction Co. - Tesla Destination,1901 Regal Row,,Dallas,TX,75235,,877-798-3752  877-798-3752,E,,Public,24 hours daily; for customer use only; see front desk for access,,,,,,2.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,32.837405,-96.868353,2020-11-03,169079,2021-03-11 23:22:17 UTC,P,,,2020-11-03,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,
1158,ELEC,Sterling Fabrication Technology - Tesla Destination,2707 W Mockingbird Ln,,Dallas,TX,75235,,877-798-3752  877-798-3752,E,,Public,24 hours daily; for customer use only; see front desk for access,,,,,,4.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,32.829916,-96.84296,2020-11-03,169137,2021-03-11 23:22:17 UTC,P,,,2020-11-03,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,
1170,ELEC,DAL PARKING DAL GARAGE B2,8008 Herb Kelleher Way Parking Garage B,,Dallas,TX,75235,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.842029,-96.848096,2022-10-30,169459,2022-10-30 00:53:56 UTC,,,,2020-11-25,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1171,ELEC,PLATINUM PARK 2100 ROSS EV,2100 Ross Ave.,,Dallas,TX,75201,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.787218,-96.797536,2022-10-30,169526,2022-10-30 00:55:40 UTC,,,,2020-11-30,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1215,ELEC,BMW OF DALLAS STATION 02,6200 Lemmon Ave,,Dallas,TX,75209,,888-758-4389,T,2022-10-29,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.834384,-96.828515,2022-10-30,172086,2022-10-30 00:42:32 UTC,,,,2021-01-27,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,
1232,ELEC,DAL PARKING DAL GARAGE A2,Parking Garage A,,Dallas,TX,75235,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.843425,-96.8494,2022-10-30,173127,2022-10-30 00:53:56 UTC,,,,2021-01-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1233,ELEC,DAL PARKING DAL GARAGE A1,Parking Garage A,,Dallas,TX,75235,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.843292,-96.849226,2022-10-30,173128,2022-10-30 00:54:29 UTC,,,,2021-01-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1234,ELEC,DAL PARKING DAL GARAGE A3,Parking Garage A,,Dallas,TX,75235,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.843432,-96.849392,2022-10-30,173129,2022-10-30 00:53:56 UTC,,,,2021-01-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1298,ELEC,PLATINUM PARK UNIT 2,2000 Ross Ave,,Dallas,TX,75201,,888-758-4389,T,2022-10-15,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.787137,-96.798721,2022-10-30,173973,2022-10-30 00:58:18 UTC,,,,2021-01-27,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,
1299,ELEC,PLATINUM PARK UNIT 1,2000 Ross Ave,,Dallas,TX,75201,,888-758-4389,T,2022-10-23,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,1.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.786877,-96.798746,2022-10-30,173974,2022-10-30 00:58:17 UTC,,,,2021-01-27,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,
1303,ELEC,2300NORTHAKARD P4 RES GARAGE,2323 N. Akard Street,,Dallas,TX,75201,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.789545,-96.80631,2022-10-30,174152,2022-10-30 00:58:01 UTC,,,,2021-01-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1304,ELEC,2300NORTHAKARD P5 UPPER GARAGE,2323 N. Akard Street,,Dallas,TX,75201,,888-758-4389,E,,Public,24 hours daily,,,,,,1.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.789563,-96.80627,2022-10-30,174153,2022-10-30 00:58:03 UTC,,,,2021-01-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1305,ELEC,2300NORTHAKARD B1 TOM THUMB,2380 N Field St,,Dallas,TX,75201,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.78914,-96.806769,2022-10-30,174154,2022-10-30 00:58:01 UTC,,,,2021-01-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1306,ELEC,2300NORTHAKARD B3 LOWER GARAGE,2380 N Field St,,Dallas,TX,75201,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.789123,-96.806792,2022-10-30,174155,2022-10-30 00:58:03 UTC,,,,2021-01-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1321,ELEC,BC STATION 1 STATION 1,3130 N Harwood St,,Dallas,TX,75201,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.797466,-96.811703,2022-10-30,174382,2022-10-30 01:00:10 UTC,,,,2021-01-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1366,ELEC,DHM-GARAGE STATION 3,301 N Houston St,,Dallas,TX,75202,,888-758-4389,T,2022-09-09,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.780907,-96.808815,2022-10-30,175259,2022-10-30 01:04:15 UTC,,,,2021-01-27,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,
1367,ELEC,DHM-GARAGE STATION 2,301 N Houston St,,Dallas,TX,75202,,888-758-4389,T,2022-09-09,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.78091,-96.80876,2022-10-30,175260,2022-10-30 01:04:15 UTC,,,,2021-01-27,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,
1368,ELEC,DHM-GARAGE STATION 1,301 N Houston St,,Dallas,TX,75202,,888-758-4389,T,2022-09-09,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,1.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.78091,-96.808754,2022-10-30,175261,2022-10-30 00:58:52 UTC,,,,2021-01-27,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,
1373,ELEC,2000 MCKINNEY STATION #2,2000 McKinney Ave,,Dallas,TX,75201,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.790656,-96.80298,2022-10-30,175331,2022-10-30 01:04:06 UTC,,,,2021-01-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1381,ELEC,DAL PARKING DAL GARAGE C1,7816 Aviation Place,,Dallas,TX,75235,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.843562,-96.847644,2022-10-30,180183,2022-10-30 00:52:30 UTC,,,,2021-01-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1382,ELEC,DAL PARKING DAL GARAGE C3,7816 Aviation Place,,Dallas,TX,75235,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.843614,-96.847635,2022-10-30,180184,2022-10-30 00:52:18 UTC,,,,2021-01-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1383,ELEC,DAL PARKING DAL GARAGE C2,7816 Aviation Place,,Dallas,TX,75235,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.843498,-96.847648,2022-10-30,180185,2022-10-30 00:52:18 UTC,,,,2021-01-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1384,ELEC,DAL PARKING DAL GARAGE C4,7816 Aviation Place,,Dallas,TX,75235,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.843662,-96.84763,2022-10-30,180186,2022-10-30 00:52:18 UTC,,,,2021-01-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1385,ELEC,DAL PARKING DAL GARAGE C5,7816 Aviation Place,,Dallas,TX,75235,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.843708,-96.847624,2022-10-30,180187,2022-10-30 00:52:18 UTC,,,,2021-01-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1417,ELEC,ASH ASH 3 LVL1 RMP,4668 Amesbury Dr,,Dallas,TX,75206,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.84195,-96.763207,2022-10-30,180226,2022-10-30 00:51:15 UTC,,,,2021-01-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1437,ELEC,MCKINNEY&OLIVE M&O STAT2,2021 McKinney Ave,,Dallas,TX,75201,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.791356,-96.804468,2022-10-30,180252,2022-10-30 00:49:08 UTC,,,,2021-01-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1443,ELEC,GABLES MCKINNEY STATION 1,2500 McKinney Ave,,Dallas,TX,75201,,888-758-4389,T,2022-10-30,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,1.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.795311,-96.80172,2022-10-30,180265,2022-10-30 00:46:48 UTC,,,,2021-01-27,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,
1455,ELEC,WHOLE FOODS MKT MCKINNEY STAT 1,2510 McKinney Ave,,Dallas,TX,75201,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.795617,-96.801739,2022-10-30,180289,2022-10-30 00:46:00 UTC,,,,2021-01-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1463,ELEC,THE ALEXAN EV STATION 02,3333 Harry Hines Blvd,,Dallas,TX,75201,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.797275,-96.813839,2022-10-30,180298,2022-10-30 00:45:33 UTC,,,,2021-01-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1490,ELEC,AMF DALLAS AMELIA-2,912 Park Ave,,Dallas,TX,75201,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.77688,-96.79158,2022-10-30,180643,2022-10-30 01:03:19 UTC,,,,2021-01-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1534,ELEC,STA STATION 2,8190 Manderville Lane,,Dallas,TX,75231,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.892139,-96.766529,2022-10-30,181541,2022-10-30 01:08:16 UTC,,,,2021-01-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1535,ELEC,STA STATION 3,8190 Manderville Lane,,Dallas,TX,75231,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.892294,-96.766526,2022-10-30,181542,2022-10-30 01:08:16 UTC,,,,2021-01-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
1549,ELEC,CHPT KOHL'S CSOC3,17655 Waterview Pkwy,,Dallas,TX,75252,,888-758-4389,T,2022-09-09,TEMPORARILY UNAVAILABLE (Public),Mon 7:00am - 10:00pm; Tue 7:00am - 10:00pm; Wed 7:00am - 10:00pm; Thu 7:00am - 10:00pm; Fri 7:00am - 10:00pm; Sat 7:00am - 10:00pm; Sun 7:00am - 10:00pm,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.987966,-96.757311,2022-10-30,182343,2022-10-30 00:42:46 UTC,,,,2021-01-27,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,
