,Zip Code,City,State,Counties,Multi County,City Alias(es),Area Code,City Type,Classification,Time Zone,Observes Daylight Saving,Latitude ,Longitude,Elevation (ft),State FIPS,County FIPS,Region,Division,Intro Date,Current Population,2010 Population,Households Per ZIP code,Average House Value ($),Average Income Per Household  ($),Persons Per Household,White Population,Black Population,Hispanic Population,Asian Population,American Indian Population,Hawaiian Population,Other Population,Male Population,Female Population,Median Age (years),Male Median Age (years),Female Median Age (years),# Residential Mailboxes,# Business Mailboxes,Total Delivery Receptacles,Number of Businesses,1st Quarter Payroll ($),Annual Payroll ($),# of Employees,Water Area (sq mi),Land Area (sq mi),113th Congressional District,113th Congressional Land Area (sq mi),Single Family Delivery Units,Multi Family Delivery Units,# Residential Mailboxes.1,# Business Mailboxes.1,Total Delivery Receptacles.1,Total Beneficiaries (2019),Retired Workers (2019),Disabled Workers (2019),Widow(er)s and Parents (2019),Spouses (2019),Children (2019),65+ (2019),Monthly Benefits - All (2019) ($),Monthly Benefits - Retired Workers (2019) ($),Monthy Benefits - Widow(ers) (2019) ($),CBSA,CBSA Name,CBSA Type,CBSA Division,CBSA Division Name,CBSA Population,CBSA Division Population,MSA,MSA Name,PMSA,PMSA Name,City State Key,Preferred Last Line Key
28,75232,Dallas,Texas,"Dallas, TX",No,Dallas,"972, 469",P [Post Office],Non-Unique,GMT,Yes,32.657741,-96.839232,633,48,113,South,West South Central,< 2004 - 2010," 31,011 "," 28,682 "," 9,782 "," 133,500 "," 43,816 ",2.93," 4,897 "," 19,429 "," 7,876 ", 82 , 244 ,28," 4,639 "," 13,546 "," 15,136 ",35.5,32.6,37.9," 10,584 ", 354 ," 12,649 ", 213 ," 29,550,000 "," 125,962,000 "," 4,133 ",0.004,8.825,30,356.27," 7,896 "," 1,457 "," 10,584 ", 354 ," 12,649 "," 6,100 "," 4,325 ", 925 ,320,125,405,"4,520","7,610,000","5,784,000","387,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
29,75233,Dallas,Texas,"Dallas, TX",No,Dallas,"214, 972",P [Post Office],Non-Unique,GMT,Yes,32.708286,-96.874206,581,48,113,South,West South Central,< 2004 - 2010," 15,362 "," 14,043 "," 4,398 "," 172,300 "," 55,393 ",3.15," 5,730 "," 5,128 "," 7,586 ", 101 , 166 ,7," 3,333 "," 6,846 "," 7,197 ",30.9,29.4,32.8," 4,877 ", 209 ," 6,303 ", 117 ," 15,799,000 "," 63,907,000 "," 1,682 ",0.003,3.57,30|33,356.27|211.94," 2,527 ", 661 ," 4,877 ", 209 ," 6,303 "," 1,955 "," 1,355 ", 295 ,125,50,130,"1,440","2,355,000","1,776,000","135,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
30,75234,Dallas,Texas,"Dallas, TX",No,Dallas,"972, 214, 469",P [Post Office],Non-Unique,GMT,Yes,32.924473,-96.896957,461,48,113,South,West South Central,< 2004 - 2010," 47,368 "," 28,794 "," 10,295 "," 200,000 "," 72,054 ",2.79," 21,715 "," 1,305 "," 14,540 "," 1,112 ", 371 ,35," 5,112 "," 14,071 "," 14,723 ",36.7,34.9,38.4," 16,978 "," 2,259 "," 20,725 "," 1,624 "," 704,944,000 "," 2,756,925,000 "," 44,046 ",0.109,10.248,24|33,262.76|211.94," 7,634 "," 8,349 "," 16,978 "," 2,259 "," 20,725 "," 4,745 "," 3,675 ", 370 ,310,215,175,"3,960","6,869,000","5,646,000","442,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
31,75235,Dallas,Texas,"Dallas, TX",No,Dallas,"214, 469, 972, 945, 817, 682",P [Post Office],Non-Unique,GMT,Yes,32.831295,-96.845969,453,48,113,South,West South Central,< 2004 - 2010," 24,447 "," 17,177 "," 6,295 "," 192,700 "," 50,254 ",2.62," 10,304 "," 2,092 "," 11,310 "," 1,046 ", 196 ,28," 4,054 "," 9,501 "," 7,676 ",30.9,31.8,29.8," 9,331 "," 1,130 "," 11,421 ", 638 ," 780,633,000 "," 2,694,394,000 "," 36,937 ",0.011,6.659,30|32|33,356.27|185.66|211.94," 2,600 "," 6,468 "," 9,331 "," 1,130 "," 11,421 "," 1,845 "," 1,200 ", 360 ,95,70,120,"1,280","2,191,000","1,523,000","109,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
32,75236,Dallas,Texas,"Dallas, TX",No,Dallas,"972, 214, 469",P [Post Office],Non-Unique,GMT,Yes,32.683676,-96.938141,667,48,113,South,West South Central,< 2004 - 2010," 20,015 "," 15,949 "," 5,552 "," 153,100 "," 45,625 ",2.87," 5,445 "," 7,094 "," 6,697 ", 571 , 169 ,16," 3,153 "," 7,391 "," 8,558 ",27.7,25.8,29.1," 6,974 ", 272 ," 7,489 ", 251 ," 148,029,000 "," 559,029,000 "," 12,026 ",0.434,13.347,30|33,356.27|211.94," 1,759 "," 4,047 "," 6,974 ", 272 ," 7,489 "," 1,605 ", 915 , 360 ,95,65,170,"1,010","1,807,000","1,142,000","118,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
33,75237,Dallas,Texas,"Dallas, TX",No,Dallas,"972, 214, 469",P [Post Office],Non-Unique,GMT,Yes,32.662318,-96.874226,650,48,113,South,West South Central,< 2004 - 2010," 18,775 "," 17,101 "," 7,261 "," 136,800 "," 30,638 ",2.33," 1,776 "," 14,313 "," 2,305 ", 95 , 162 ,21," 1,167 "," 7,314 "," 9,787 ",28.1,25.8,29.5," 8,058 ", 805 ," 9,831 ", 489 ," 115,559,000 "," 478,364,000 "," 11,054 ",0.0,6.665,30,356.27, 783 ," 6,271 "," 8,058 ", 805 ," 9,831 "," 2,010 ", 950 , 640 ,120,20,280,980,"2,082,000","1,128,000","110,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
34,75238,Dallas,Texas,"Dallas, TX",No,Dallas,"214, 469",P [Post Office],Non-Unique,GMT,Yes,32.978634,-96.70374,578,48,113,South,West South Central,< 2004 - 2010," 34,171 "," 30,483 "," 12,012 "," 398,200 "," 67,789 ",2.52," 20,575 "," 4,969 "," 8,966 ", 981 , 320 ,18," 4,406 "," 14,988 "," 15,495 ",33.3,32.2,34.5," 13,560 "," 1,182 "," 15,633 ", 906 ," 149,487,000 "," 622,272,000 "," 12,651 ",0.0,6.582,05|32,5043.85|185.66," 6,898 "," 5,388 "," 13,560 "," 1,182 "," 15,633 "," 3,865 "," 2,765 ", 370 ,290,220,220,"3,170","6,006,000","4,702,000","475,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
35,75240,Dallas,Texas,"Dallas, TX",No,Dallas,"972, 469, 214",P [Post Office],Non-Unique,GMT,Yes,32.932536,-96.786826,530,48,113,South,West South Central,< 2004 - 2010," 29,221 "," 24,296 "," 9,239 "," 236,500 "," 50,767 ",2.63," 13,554 "," 2,731 "," 14,264 ", 987 , 419 ,26," 7,452 "," 12,648 "," 11,648 ",30.0,29.8,30.2," 11,111 "," 1,630 "," 13,928 "," 1,453 "," 648,707,000 "," 2,442,238,000 "," 30,346 ",0.008,3.779,24|32,262.76|185.66," 2,585 "," 7,803 "," 11,111 "," 1,630 "," 13,928 "," 2,235 "," 1,620 ", 250 ,160,115,90,"1,790","3,384,000","2,657,000","246,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
36,75241,Dallas,Texas,"Dallas, TX",No,Dallas,"214, 972, 469",P [Post Office],Non-Unique,GMT,Yes,32.664576,-96.756392,511,48,113,South,West South Central,< 2004 - 2010," 31,061 "," 27,066 "," 9,179 "," 96,700 "," 35,845 ",2.9," 1,508 "," 24,106 "," 2,524 ", 75 , 179 ,18," 1,485 "," 12,393 "," 14,673 ",34.2,31.1,36.6," 10,711 ", 426 ," 12,241 ", 186 ," 58,560,000 "," 249,664,000 "," 5,050 ",0.102,25.267,30,356.27," 7,487 "," 1,273 "," 10,711 ", 426 ," 12,241 "," 6,260 "," 3,890 "," 1,345 ",370,90,565,"4,095","7,015,000","4,749,000","415,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
37,75243,Dallas,Texas,"Dallas, TX",No,Dallas,"972, 214, 469",P [Post Office],Non-Unique,GMT,Yes,32.913819,-96.733495,590,48,113,South,West South Central,< 2004 - 2010," 66,812 "," 55,406 "," 23,672 "," 264,800 "," 44,542 ",2.33," 21,883 "," 23,040 "," 14,190 "," 4,368 ", 592 ,89," 7,174 "," 26,998 "," 28,408 ",31.5,31.1,31.9," 28,675 "," 2,227 "," 30,653 "," 1,627 "," 1,148,682,000 "," 3,280,954,000 "," 40,433 ",0.011,9.21,05|32,5043.85|18," 6,589 "," 20,176 "," 28,675 "," 2,227 "," 30,653 "," 6,530 "," 4,340 "," 1,100 ",345,305,440,"4,745","9,138,000","6,845,000","513,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
38,75244,Dallas,Texas,"Dallas, TX",No,Dallas,"972, 469, 214",P [Post Office],Non-Unique,GMT,Yes,32.930328,-96.825261,617,48,113,South,West South Central,< 2004 - 2010," 15,726 "," 13,266 "," 5,642 "," 448,300 "," 97,263 ",2.35," 9,773 "," 1,230 "," 3,452 ", 887 , 165 ,12," 1,590 "," 6,552 "," 6,714 ",36.6,35.1,38.0," 6,692 "," 1,710 "," 10,211 "," 1,264 "," 574,273,000 "," 2,246,011,000 "," 31,925 ",0.003,4.62,24,262.76," 3,055 "," 3,416 "," 6,692 "," 1,710 "," 10,211 "," 1,850 "," 1,455 ", 90 ,130,115,60,"1,655","3,271,000","2,718,000","221,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
39,75246,Dallas,Texas,"Dallas, TX",No,Dallas,"214, 972, 469, 945",P [Post Office],Non-Unique,GMT,Yes,32.793243,-96.772887,482,48,113,South,West South Central,< 2004 - 2010," 3,420 "," 2,770 "," 1,204 "," 338,500 "," 43,153 ",2.28," 1,471 ", 481 ," 1,547 ", 68 , 36 ,12, 778 ," 1,478 "," 1,292 ",32.5,32.5,32.5," 1,500 ", 331 ," 2,004 ", 227 ," 168,180,000 "," 956,974,000 "," 10,596 ",0.001,0.466,30|32,356.27|185.66, 385 , 954 ," 1,500 ", 331 ," 2,004 ", 425 , 310 , 70 ,20,10,15,315,"433,000","317,000","23,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
40,75247,Dallas,Texas,"Dallas, TX",No,Dallas,"214, 469, 972, 817, 682",P [Post Office],Non-Unique,GMT,Yes,32.81932,-96.877465,401,48,113,South,West South Central,< 2004 - 2010, 268 , 468 , 251 , -   ," 18,245 ",1.42, 265 , 180 , 73 , 7 , 6 ,0, 19 , 281 , 187 ,57.0,53.2,66.2, 189 ," 1,811 "," 2,129 "," 1,230 "," 673,052,000 "," 2,570,248,000 ",49.914,0.029,6.62,30|33, 356.27|211.94 , 33 , 156 , 198 ," 1,811 "," 2,129 ", 295 , 210 , 50 ,15,0,20,225,"384,000","292,000","23,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
41,75248,Dallas,Texas,"Dallas, TX",No,Dallas,"972, 469",P [Post Office],Non-Unique,GMT,Yes,32.968925,-96.798418,620,48,113,South,West South Central,< 2004 - 2010," 39,253 "," 33,395 "," 15,404 "," 419,300 "," 86,326 ",2.17," 27,088 "," 2,953 "," 4,546 "," 1,864 ", 352 ,61," 1,903 "," 16,129 "," 17,266 ",42.5,40.7,44.3," 18,089 ", 855 ," 18,916 "," 1,140 "," 252,673,000 "," 1,017,156,000 "," 15,199 ",0.05,7.424,03|24|32,480.88|262.76|185.66," 8,682 "," 9,249 "," 18,089 ", 855 ," 18,916 "," 6,710 "," 5,335 ", 300 ,425,505,145,6155,"12,109,000","10,233,000","754,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
42,75249,Dallas,Texas,"Dallas, TX",No,Dallas,"972, 214, 469",P [Post Office],Non-Unique,GMT,Yes,32.642243,-96.970773,582,48,113,South,West South Central,< 2004 - 2010," 15,174 "," 13,373 "," 4,263 "," 161,900 "," 63,214 ",3.13," 4,450 "," 6,665 "," 4,334 ", 437 , 165 ,23," 2,049 "," 6,331 "," 7,042 ",31.7,30.1,33.1," 4,848 ", 28 ," 5,028 ", 56 ," 5,329,000 "," 19,267,000 ", 735 ,0.016,5.494,30,356.27," 4,574 ", -   ," 4,848 ", 28 ," 5,028 "," 1,815 "," 1,190 ", 295 ,85,60,185,"1,240","2,351,000","1,720,000","101,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
43,75251,Dallas,Texas,"Dallas, TX",No,Dallas,"972, 469, 214",P [Post Office],Non-Unique,GMT,Yes,32.917314,-96.77491,537,48,113,South,West South Central,< 2004 - 2010," 4,417 "," 2,331 "," 1,495 ", -   ," 75,769 ",1.56," 1,658 ", 321 , 318 , 257 , 24 ,10, 129 ," 1,041 "," 1,290 ",29.8,29.8,29.8," 2,832 ", 535 ," 3,536 ", 604 ," 322,870,000 "," 1,212,461,000 "," 14,944 ",0.004,0.594,32,185.66, -   ," 2,831 "," 2,832 ", 535 ," 3,536 ", 415 , 295 , 40 ,50,15,15,360,"696,000","535,000","77,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
44,75252,Dallas,Texas,"Dallas, TX",No,Dallas,"972, 469",P [Post Office],Non-Unique,GMT,Yes,32.995663,-96.78588,659,48,113,South,West South Central,< 2004 - 2010," 28,707 "," 24,112 "," 12,083 "," 411,000 "," 67,928 ",1.99," 16,772 "," 2,710 "," 3,563 "," 3,619 ", 221 ,47," 1,457 "," 11,904 "," 12,208 ",36.7,35.5,37.9," 14,426 ", 760 ," 14,966 ", 864 ," 189,225,000 "," 730,238,000 "," 11,346 ",0.011,5.131,03|24|32,480.88|262.76," 4,515 "," 8,255 "," 14,426 ", 760 ," 14,966 "," 4,470 "," 3,560 ", 235 ,285,290,100,"4,020","7,874,000","6,689,000","491,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
45,75253,Dallas,Texas,"Dallas, TX",No,Dallas,972,P [Post Office],Non-Unique,GMT,Yes,32.67007,-96.61864,431,48,113,South,West South Central,< 2004 - 2010," 25,958 "," 18,450 "," 5,359 "," 54,400 "," 43,574 ",3.44," 11,839 "," 2,197 "," 10,758 ", 101 , 363 ,23," 4,551 "," 9,300 "," 9,150 ",27.8,27.5,28.0," 7,546 ", 172 ," 9,351 ", 110 ," 9,231,000 "," 36,116,000 "," 1,076 ",1.24,14.962,05|30,5043.85|356.27," 2,782 ", 293 ," 7,546 ", 172 ," 9,351 "," 1,855 "," 1,015 ", 435 ,130,65,210,"1,090","2,097,000","1,280,000","148,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
46,75254,Dallas,Texas,"Dallas, TX",No,Dallas,214,P [Post Office],Non-Unique,GMT,Yes,32.946397,-96.799501,541,48,113,South,West South Central,< 2004 - 2010," 26,121 "," 23,253 "," 11,084 "," 288,400 "," 56,902 ",2.07," 13,389 "," 4,671 "," 8,552 "," 1,334 ", 273 ,48," 4,290 "," 11,626 "," 11,627 ",30.5,30.4,30.6," 12,619 "," 1,248 "," 18,291 "," 1,184 "," 846,934,000 "," 2,905,824,000 "," 31,738 ",0.0,3.245,24|32,262.76|185.66," 1,555 "," 10,644 "," 12,619 "," 1,248 "," 18,291 "," 1,825 "," 1,305 ", 190 ,120,130,80,"1,490","3,025,000","2,368,000","212,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
47,75287,Dallas,Texas,"Dallas, TX",No,Dallas,"972, 469",P [Post Office],Non-Unique,GMT,Yes,33.002005,-96.84312,672,48,113,South,West South Central,< 2004 - 2010," 54,424 "," 49,004 "," 26,050 "," 327,500 "," 53,575 ",1.88," 28,759 "," 12,206 "," 10,093 "," 4,026 ", 663 ,80," 5,134 "," 23,731 "," 25,273 ",31.3,31.3,31.2," 28,949 ", 601 ," 29,369 ", 663 ," 98,007,000 "," 374,841,000 "," 7,489 ",0.018,5.537,03|24,480.88|262.76," 5,329 "," 22,908 "," 28,949 ", 601 ," 29,269 "," 4,230 "," 2,945 ", 560 ,225,230,270,"3,235","6,760,000","5,253,000","351,000","19,100","Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
